iter	Passed	Remaining
0	27	54488
1	50	50264
2	71	47472
3	90	45058
4	109	43875
5	129	42897
6	147	42010
7	165	41213
8	183	40640
9	203	40456
10	221	40113
11	241	39967
12	260	39856
13	279	39578
14	298	39497
15	318	39485
16	344	40238
17	371	40923
18	405	42284
19	436	43233
20	461	43464
21	490	44127
22	514	44237
23	536	44203
24	570	45105
25	590	44866
26	609	44509
27	630	44409
28	653	44430
29	674	44308
30	693	44077
31	711	43783
32	732	43652
33	752	43508
34	771	43319
35	791	43205
36	811	43036
37	831	42916
38	850	42767
39	869	42626
40	889	42514
41	915	42661
42	934	42540
43	953	42366
44	971	42190
45	989	42047
46	1008	41896
47	1025	41723
48	1046	41649
49	1064	41527
50	1082	41358
51	1099	41203
52	1117	41060
53	1135	40902
54	1153	40789
55	1173	40748
56	1195	40749
57	1217	40772
58	1240	40811
59	1265	40915
60	1288	40957
61	1313	41060
62	1353	41623
63	1372	41532
64	1390	41385
65	1408	41260
66	1426	41145
67	1443	41020
68	1461	40893
69	1480	40815
70	1498	40701
71	1518	40659
72	1540	40672
73	1561	40641
74	1581	40603
75	1602	40563
76	1621	40502
77	1641	40442
78	1662	40421
79	1681	40351
80	1700	40279
81	1720	40234
82	1742	40250
83	1762	40210
84	1781	40145
85	1800	40071
86	1821	40045
87	1840	39988
88	1861	39971
89	1882	39942
90	1900	39871
91	1918	39787
92	1936	39707
93	1954	39633
94	1974	39584
95	1991	39501
96	2012	39481
97	2030	39417
98	2049	39349
99	2069	39317
100	2090	39306
101	2111	39282
102	2130	39234
103	2148	39166
104	2168	39127
105	2186	39075
106	2204	38996
107	2222	38926
108	2238	38840
109	2256	38766
110	2278	38775
111	2302	38805
112	2322	38781
113	2344	38792
114	2364	38761
115	2382	38700
116	2400	38632
117	2418	38568
118	2436	38505
119	2454	38455
120	2472	38401
121	2492	38374
122	2511	38320
123	2531	38297
124	2549	38235
125	2567	38189
126	2594	38265
127	2614	38236
128	2633	38198
129	2652	38156
130	2670	38106
131	2687	38038
132	2707	38006
133	2724	37941
134	2744	37909
135	2763	37873
136	2782	37831
137	2800	37786
138	2819	37749
139	2837	37694
140	2857	37668
141	2878	37657
142	2898	37644
143	2920	37635
144	2940	37624
145	2960	37597
146	2980	37574
147	3002	37568
148	3024	37578
149	3045	37557
150	3066	37546
151	3087	37538
152	3105	37486
153	3124	37448
154	3144	37426
155	3163	37399
156	3182	37359
157	3200	37310
158	3218	37262
159	3235	37209
160	3254	37171
161	3271	37122
162	3289	37073
163	3307	37022
164	3323	36964
165	3340	36910
166	3358	36864
167	3377	36834
168	3395	36791
169	3415	36766
170	3435	36748
171	3454	36711
172	3472	36669
173	3490	36629
174	3508	36584
175	3526	36543
176	3543	36498
177	3561	36452
178	3578	36407
179	3597	36371
180	3614	36326
181	3632	36285
182	3650	36246
183	3669	36214
184	3687	36175
185	3705	36137
186	3723	36098
187	3741	36065
188	3761	36038
189	3779	36001
190	3796	35959
191	3814	35923
192	3832	35880
193	3851	35858
194	3871	35834
195	3890	35806
196	3909	35778
197	3927	35740
198	3946	35712
199	3964	35684
200	3983	35652
201	4002	35622
202	4020	35588
203	4038	35555
204	4056	35518
205	4077	35506
206	4095	35476
207	4114	35447
208	4133	35417
209	4151	35384
210	4170	35357
211	4193	35369
212	4214	35359
213	4235	35344
214	4259	35363
215	4284	35390
216	4304	35365
217	4323	35340
218	4347	35352
219	4365	35319
220	4384	35290
221	4402	35261
222	4420	35222
223	4437	35182
224	4455	35151
225	4473	35116
226	4493	35093
227	4509	35047
228	4526	35006
229	4544	34976
230	4562	34941
231	4582	34921
232	4602	34900
233	4623	34890
234	4642	34867
235	4665	34871
236	4687	34866
237	4706	34842
238	4725	34821
239	4743	34786
240	4761	34754
241	4780	34724
242	4797	34689
243	4815	34653
244	4832	34616
245	4850	34583
246	4868	34554
247	4887	34526
248	4908	34516
249	4933	34533
250	4954	34522
251	4974	34505
252	4998	34513
253	5016	34484
254	5036	34463
255	5054	34431
256	5075	34421
257	5096	34409
258	5115	34387
259	5135	34365
260	5154	34344
261	5174	34327
262	5195	34312
263	5215	34295
264	5236	34286
265	5258	34276
266	5282	34289
267	5303	34274
268	5326	34274
269	5349	34273
270	5368	34253
271	5388	34235
272	5409	34217
273	5433	34230
274	5456	34226
275	5477	34214
276	5497	34198
277	5517	34174
278	5534	34141
279	5553	34114
280	5571	34082
281	5593	34076
282	5611	34048
283	5630	34021
284	5648	33990
285	5667	33963
286	5686	33938
287	5706	33920
288	5725	33898
289	5746	33885
290	5769	33884
291	5794	33893
292	5813	33870
293	5834	33855
294	5855	33842
295	5873	33812
296	5893	33795
297	5911	33762
298	5931	33742
299	5951	33723
300	5970	33703
301	5995	33711
302	6017	33699
303	6038	33688
304	6060	33681
305	6080	33663
306	6100	33642
307	6121	33630
308	6140	33602
309	6158	33571
310	6176	33541
311	6193	33510
312	6212	33486
313	6230	33453
314	6247	33419
315	6266	33392
316	6286	33376
317	6305	33352
318	6323	33321
319	6344	33308
320	6365	33292
321	6385	33277
322	6407	33266
323	6425	33236
324	6441	33199
325	6459	33171
326	6477	33140
327	6495	33111
328	6512	33079
329	6530	33047
330	6548	33017
331	6566	32989
332	6586	32974
333	6606	32954
334	6627	32938
335	6648	32925
336	6668	32905
337	6688	32889
338	6708	32871
339	6728	32850
340	6752	32853
341	6774	32841
342	6797	32835
343	6817	32817
344	6838	32805
345	6858	32785
346	6878	32766
347	6900	32757
348	6919	32734
349	6939	32712
350	6958	32689
351	6978	32671
352	6997	32650
353	7016	32625
354	7034	32597
355	7054	32575
356	7073	32552
357	7091	32526
358	7108	32493
359	7126	32464
360	7142	32429
361	7161	32404
362	7179	32376
363	7198	32352
364	7217	32329
365	7238	32318
366	7264	32323
367	7285	32309
368	7305	32292
369	7325	32273
370	7349	32268
371	7368	32248
372	7389	32231
373	7409	32214
374	7429	32194
375	7449	32175
376	7468	32150
377	7488	32131
378	7507	32110
379	7526	32086
380	7546	32069
381	7567	32052
382	7586	32030
383	7606	32010
384	7624	31983
385	7642	31956
386	7665	31948
387	7683	31922
388	7701	31896
389	7721	31876
390	7742	31862
391	7764	31850
392	7786	31838
393	7807	31823
394	7828	31807
395	7848	31791
396	7867	31768
397	7887	31746
398	7909	31736
399	7928	31712
400	7947	31689
401	7965	31663
402	7983	31638
403	8002	31613
404	8021	31590
405	8038	31559
406	8056	31531
407	8074	31505
408	8093	31485
